year,month,gss,avg
1995,1,E14000979,46827.500000000000
1995,1,E14000747,43237.551724137931
1995,1,E14000537,38529.695652173913
1995,1,E14001054,49213.071428571429
1995,1,E14000612,43803.972727272727
1995,1,E14000661,44606.428571428571
1995,1,E14000532,79575.000000000000
1995,1,E14000808,36073.895348837209
1995,1,E14000807,39033.888888888889
1995,1,E14000809,60503.000000000000
1995,1,E14001059,56391.750000000000
1995,1,E14000571,32566.153846153846
1995,1,E14000911,40162.755102040816
1995,1,E14000785,40422.250000000000
1995,1,E14000580,37036.363636363636
1995,1,E14000579,46331.666666666667
1995,2,E14000911,43936.148648648649
1995,2,E14001054,52506.132075471698
1995,2,E14000537,42128.421052631579
1995,2,E14000571,34824.112903225806
1995,2,E14000579,57832.500000000000
1995,2,E14001059,58619.775280898876
1995,2,E14000612,46801.781818181818
1995,2,E14000661,40988.469387755102
1995,2,E14000979,49261.619718309859
1995,2,E14000807,31544.115384615385
1995,2,E14000808,30989.466666666667
1995,2,E14000809,59260.714285714286
1995,2,E14000532,86433.333333333333
1995,2,E14000747,43243.478260869565
1995,2,E14000785,46215.217391304348
1995,2,E14000580,32650.000000000000
1995,3,E14000532,66941.666666666667
1995,3,E14000537,44473.469696969697
1995,3,E14000571,36419.342857142857
1995,3,E14001054,54109.516129032258
1995,3,E14000911,45068.696078431373
1995,3,E14000979,45765.980392156863
1995,3,E14001059,60182.012195121951
1995,3,E14000612,50455.926174496644
1995,3,E14000661,44831.805970149254
1995,3,E14000747,46859.845070422535
1995,3,E14000807,31846.782178217822
1995,3,E14000808,32181.730769230769
1995,3,E14000809,64453.120000000000
1995,3,E14000579,45435.000000000000
1995,3,E14000785,39275.555555555556
1995,3,E14000580,36680.000000000000
1995,3,E14000969,52000.000000000000
1995,4,E14001059,55457.435897435897
1995,4,E14000537,42420.314814814815
1995,4,E14001054,54188.797468354430
1995,4,E14000612,46057.908163265306
1995,4,E14000661,40425.800000000000
1995,4,E14000747,52511.921052631579
1995,4,E14000979,52951.449275362319
1995,4,E14000807,30920.955882352941
1995,4,E14000911,43692.758620689655
1995,4,E14000808,36606.813186813187
1995,4,E14000571,34331.904761904762
1995,4,E14000532,93558.250000000000
1995,4,E14000809,54949.333333333333
1995,4,E14000785,47305.000000000000
1995,4,E14000580,38771.428571428571
1995,4,E14000579,47313.333333333333
1995,4,E14000871,63750.000000000000
1995,5,E14000661,44383.644067796610
1995,5,E14000532,67645.735294117647
1995,5,E14000537,41473.639344262295
1995,5,E14000571,33091.802325581395
1995,5,E14000808,32898.592233009709
1995,5,E14000809,61812.631578947368
1995,5,E14000911,39314.611764705882
1995,5,E14001054,54792.146788990826
1995,5,E14000612,57015.159292035398
1995,5,E14000747,48814.705882352941
1995,5,E14000785,44693.043478260870
1995,5,E14000807,35871.346153846154
1995,5,E14001059,54254.506493506494
1995,5,E14000979,50885.567010309278
1995,5,E14000580,33833.333333333333
1995,5,E14000579,66000.000000000000
1995,6,E14001054,52766.165048543689
1995,6,E14000807,34959.719626168224
1995,6,E14000808,35580.153846153846
1995,6,E14000809,58053.166666666667
1995,6,E14000911,43120.336448598131
1995,6,E14000979,46434.989247311828
1995,6,E14001059,56291.790476190476
1995,6,E14000571,30211.038461538462
1995,6,E14000580,38975.047619047619
1995,6,E14000612,47021.991596638655
1995,6,E14000785,46537.934782608696
1995,6,E14000537,44768.100000000000
1995,6,E14000747,45092.555555555556
1995,6,E14000532,73203.333333333333
1995,6,E14000661,45828.104166666667
1995,6,E14000579,58146.923076923077
1995,6,E14000871,19500.0000000000000000
